payment_id,merchant_id,customer_name,customer_email,customer_phone,amount,currency,failure_reason,failure_detail,failure_source,attempts,created_at,order_type
pay_Test_001,merch_002,Aarav Gupta,user001@example.com,+919839958838,19900,INR,PAYMENT_CANCELLED,,customer,2,2026-08-19T18:28:58Z,b2b
pay_Test_002,merch_001,Vikram Sharma,user002@example.com,+919822575562,29900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-21T17:28:58Z,subscription
pay_Test_003,merch_004,Sara Khan,user003@example.com,+919839587039,149900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-30T12:28:58Z,subscription
pay_Test_004,merch_003,Kabir Nair,user004@example.com,+919823718431,9900,INR,GATEWAY_ERROR,,network,1,2026-08-25T06:28:58Z,subscription
pay_Test_005,merch_001,Sara Bose,user005@example.com,+919860806024,9900,INR,BAD_REQUEST_ERROR,MANDATE_EXPIRED,bank,1,2026-08-19T22:28:58Z,b2b
pay_Test_006,merch_001,Isha Patel,user006@example.com,+919898753260,29900,INR,GATEWAY_ERROR,,network,2,2026-08-29T10:28:58Z,b2b
pay_Test_007,merch_002,Ananya Singh,user007@example.com,+919859684848,79900,INR,GATEWAY_ERROR,,network,1,2026-08-25T19:28:58Z,b2b
pay_Test_008,merch_002,Priya Reddy,user008@example.com,+919831931511,149900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-19T19:28:58Z,subscription
pay_Test_009,merch_001,Aarav Nair,user009@example.com,+919852339391,99900,INR,PAYMENT_TIMEOUT,,customer,1,2026-08-26T23:28:58Z,b2b
pay_Test_010,merch_004,Karan Bose,user010@example.com,+919896282117,6000000,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,network,1,2026-08-28T10:28:58Z,subscription
pay_Test_011,merch_004,Sara Rao,user011@example.com,+919888320463,99900,INR,PAYMENT_CANCELLED,,customer,1,2026-08-28T01:28:58Z,one_time
pay_Test_012,merch_002,Diya Reddy,user012@example.com,+919866661351,9900,INR,BAD_REQUEST_ERROR,MANDATE_REVOKED,customer,1,2026-08-21T03:28:58Z,one_time
pay_Test_013,merch_003,Aarav Patel,user013@example.com,+919896028436,79900,INR,BAD_REQUEST_ERROR,CARD_DECLINED,bank,1,2026-08-24T12:28:58Z,one_time
pay_Test_014,merch_002,Sara Gupta,user014@example.com,+919878139880,9900,INR,BAD_REQUEST_ERROR,CARD_DECLINED,bank,2,2026-08-25T21:28:58Z,one_time
pay_Test_015,merch_001,Meera Reddy,user015@example.com,+919890388981,79900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-29T06:28:58Z,b2b
pay_Test_016,merch_001,Rohan Nair,user016@example.com,+919842329237,9900,INR,BAD_REQUEST_ERROR,MANDATE_EXPIRED,bank,1,2026-08-23T15:28:58Z,b2b
pay_Test_017,merch_004,Kabir Reddy,dnc_customer@example.com,+919883793389,19900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-21T04:28:58Z,b2b
pay_Test_018,merch_003,Sara Nair,user018@example.com,+919863551839,79900,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,1,2026-08-22T03:28:58Z,one_time
pay_Test_019,merch_002,Meera Sharma,user019@example.com,+919888979095,29900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-20T16:28:58Z,one_time
pay_Test_020,merch_002,Meera Patel,user020@example.com,+919847376585,149900,INR,BAD_REQUEST_ERROR,CARD_EXPIRED,bank,1,2026-08-27T18:28:58Z,b2b
pay_Test_021,merch_004,Ananya Nair,user021@example.com,+919864634663,29900,INR,PAYMENT_CANCELLED,,customer,1,2026-08-20T04:28:58Z,one_time
pay_Test_022,merch_001,Sara Sharma,user022@example.com,+919818135295,99900,INR,SERVER_ERROR,,network,2,2026-08-29T10:28:58Z,one_time
pay_Test_023,merch_002,Kabir Iyer,user023@example.com,+919847385696,149900,INR,PAYMENT_CANCELLED,,customer,1,2026-08-29T03:28:58Z,subscription
pay_Test_024,merch_001,Diya Sharma,user024@example.com,+919822517517,29900,INR,BAD_REQUEST_ERROR,MANDATE_EXPIRED,bank,1,2026-08-23T02:28:58Z,one_time
pay_Test_025,merch_004,Aarav Reddy,user025@example.com,+919810289289,99900,INR,SERVER_ERROR,,network,1,2026-08-23T08:28:58Z,one_time
pay_Test_026,merch_002,Arjun Bose,user026@example.com,+919835487660,49900,INR,BAD_REQUEST_ERROR,,bank,1,2026-07-16T17:28:58Z,b2b
pay_Test_027,merch_001,Meera Sharma,user027@example.com,+919888406989,149900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-22T12:28:58Z,one_time
pay_Test_028,merch_001,Kabir Patel,user028@example.com,+919841568532,99900,INR,PAYMENT_CANCELLED,,customer,1,2026-08-21T10:28:58Z,subscription
pay_Test_029,merch_003,Diya Iyer,user029@example.com,+919844999379,29900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-25T10:28:58Z,one_time
pay_Test_030,merch_004,Karan Gupta,user030@example.com,+919852436584,9900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,1,2026-08-20T23:28:58Z,b2b
pay_Test_031,merch_003,Isha Khan,user031@example.com,+919827778019,79900,INR,BAD_REQUEST_ERROR,FUND_INSUFFICIENT,customer,2,2026-08-27T06:28:58Z,one_time
pay_Test_032,merch_001,Arjun Gupta,user032@example.com,+919899639081,249900,INR,SERVER_ERROR,,network,1,2026-08-20T14:28:58Z,b2b
